Marks,Intensity(V)
,0.021727
,0.022665
,0.021544
,0.020362
,0.019547
,0.024152
4338,0.022339
,0.020851
,0.022237
,0.024988
,0.020627
,0.018936
,0.019730
,0.020484
,0.020709
,0.021544
,0.022339
,0.022420
,0.021483
,0.023643
,0.023154
,0.025721
,0.039945
,0.090643
,0.227373
,0.441781
,0.481598
,0.409810
,0.236889
,0.154647
,0.223868
,0.252763
,0.162085
,0.106802
,0.046424
,0.034320
,0.023643
,0.019914
,0.022563
,0.022216
,0.021544
,0.021483
,0.020505
,0.019466
,0.022196
4329,0.018671
,0.021503
,0.019099
,0.018650
,0.020647
,0.019527
,0.021748
,0.020790
,0.023113
,0.024295
,0.023052
,0.018732
,0.022094
,0.018569
