Marks,Intensity(V)
,0.020729
,0.019812
,0.018569
,0.018650
,0.020362
4327,0.021075
,0.017856
,0.018019
,0.017428
,0.016572
,0.018141
,0.018080
,0.016776
,0.018630
,0.021585
,0.021503
,0.019180
,0.021157
,0.018304
,0.023643
,0.023215
,0.022155
,0.022033
,0.022991
,0.021422
,0.025008
,0.026903
,0.034422
,0.064805
,0.127383
,0.255045
,0.324735
,0.271204
,0.194485
,0.299957
,0.469963
,0.566245
,0.414028
,0.186313
,0.046037
,0.039252
,0.027474
,0.024397
,0.024519
,0.024193
,0.027331
,0.021116
,0.020382
,0.021503
,0.021768
4337,0.021931
,0.020321
,0.019221
,0.021361
,0.021911
,0.019567
,0.019751
,0.017265
,0.021259
,0.016470
,0.022033
,0.019384
,0.018793
,0.020586
,0.022522
