Marks,Intensity(V)
,0.024927
,0.021850
,0.021972
,0.019527
,0.020301
,0.019527
,0.017978
4338,0.020077
,0.019710
,0.019445
,0.019323
,0.020016
,0.020097
,0.020464
,0.021462
,0.022787
,0.019690
,0.019282
,0.020994
,0.020077
,0.023419
,0.023011
,0.026170
,0.024315
,0.027392
,0.039333
,0.074789
,0.210725
,0.455678
,0.576596
,0.463136
,0.305846
,0.180954
,0.238723
,0.289972
,0.240272
,0.166874
,0.062685
,0.040393
,0.026761
,0.023500
,0.021259
,0.020872
,0.020301
,0.020627
,0.022135
,0.021992
,0.019853
,0.020260
4329,0.020484
,0.020709
,0.019221
,0.021585
,0.019608
,0.020505
,0.021340
,0.018915
,0.020301
,0.019201
,0.018956
,0.020403
,0.017978
,0.020525
,0.019629
