Marks,Intensity(V)
,0.018365
,0.018936
,0.021055
,0.019853
,0.021890
,0.020403
,0.018304
4327,0.018345
,0.020118
,0.018956
,0.018650
,0.017733
,0.021096
,0.019201
,0.021157
,0.018121
,0.020505
,0.021096
,0.017672
,0.021687
,0.021931
,0.019771
,0.020994
,0.021768
,0.021952
,0.022216
,0.025660
,0.025334
,0.032527
,0.041208
,0.080903
,0.148595
,0.239987
,0.230063
,0.156074
,0.212233
,0.317644
,0.421262
,0.311449
,0.156400
,0.057611
,0.035197
,0.025416
,0.024030
,0.024478
,0.021850
,0.022074
,0.021198
,0.020545
,0.020831
4337,0.022033
,0.019241
,0.021055
,0.018182
,0.019486
,0.020953
,0.018834
,0.018671
,0.019221
,0.020179
