Marks,Intensity(V)
,0.017693
,0.022604
,0.018345
,0.022563
,0.019853
,0.018813
,0.018161
,0.018610
,0.021218
4339,0.023378
,0.023072
,0.021462
,0.017611
,0.020036
,0.020260
,0.018610
,0.019955
,0.021952
,0.020321
,0.021564
,0.020056
,0.020831
,0.019527
,0.024071
,0.021462
,0.020892
,0.024275
,0.026170
,0.029899
,0.043083
,0.107861
,0.260527
,0.551716
,0.602414
,0.484695
,0.243288
,0.205060
,0.320497
,0.324328
,0.235463
,0.143379
,0.056002
,0.039557
,0.025518
,0.022542
,0.021483
,0.023908
,0.018284
,0.020810
,0.020994
,0.021075
,0.018813
,0.018630
,0.020912
,0.021503
,0.022013
,0.021116
4327,0.021401
,0.019241
,0.021788
,0.022624
,0.022176
,0.020749
,0.022604
,0.020342
,0.018549
,0.022828
,0.019221
,0.021401
