Marks,Intensity(V)
,0.020036
,0.020994
,0.019445
,0.026170
,0.020586
,0.020444
4337,0.020607
,0.019669
,0.021483
,0.020973
,0.022379
,0.019384
,0.020607
,0.022176
,0.022705
,0.020810
,0.022604
,0.021625
,0.022318
,0.022074
,0.024356
,0.030286
,0.044346
,0.101830
,0.226191
,0.390635
,0.406345
,0.323798
,0.187638
,0.138937
,0.209197
,0.211907
,0.152161
,0.098549
,0.045446
,0.030856
,0.022726
,0.021218
,0.023745
,0.020464
,0.022196
,0.024927
,0.022787
,0.020321
,0.022502
,0.019486
,0.021748
4328,0.017448
,0.019160
,0.020749
,0.019506
,0.020097
,0.019588
,0.019567
,0.020179
,0.019934
,0.020668
,0.021483
