Marks,Intensity(V)
,0.020423
,0.025701
,0.019506
,0.021564
4328,0.020362
,0.019486
,0.023622
,0.019710
,0.022278
,0.020810
,0.020688
,0.023093
,0.021503
,0.020077
,0.022563
,0.020097
,0.023622
,0.026761
,0.029308
,0.050581
,0.090276
,0.156318
,0.338408
,0.369850
,0.284022
,0.260058
,0.394751
,0.605878
,0.672776
,0.482556
,0.184398
,0.056409
,0.045141
,0.031855
,0.029022
,0.025334
,0.024927
,0.021442
,0.023276
,0.022420
,0.022359
,0.023602
,0.020036
4337,0.020749
,0.018752
,0.020688
,0.022155
,0.021911
,0.018467
,0.021585
,0.019364
,0.019914
,0.020158
,0.021707
