Marks,Intensity(V)
,0.020688
,0.021503
,0.018813
,0.019832
,0.020281
,0.021299
4326,0.020158
,0.021096
,0.024641
,0.019282
,0.020770
,0.022726
,0.019139
,0.021707
,0.020219
,0.020872
,0.023154
,0.022542
,0.020056
,0.021605
,0.021014
,0.021992
,0.019873
,0.020301
,0.021136
,0.022196
,0.023724
,0.023521
,0.023011
,0.023276
,0.034198
,0.058162
,0.116644
,0.250542
,0.356931
,0.290420
,0.215718
,0.342769
,0.531237
,0.586744
,0.409117
,0.206446
,0.056593
,0.038029
,0.030714
,0.025049
,0.027025
,0.022379
,0.020036
,0.020545
,0.018691
,0.021340
,0.023622
,0.021320
,0.020382
4337,0.022787
,0.023663
,0.023602
,0.020464
,0.020810
,0.017754
,0.023847
,0.023133
,0.019751
,0.020342
,0.020444
,0.019506
,0.020749
,0.021320
,0.017387
,0.021035
