Marks,Intensity(V)
,0.021625
,0.023643
,0.021238
,0.019486
,0.020953
4326,0.020933
,0.021687
,0.022563
,0.019955
,0.022441
,0.021666
,0.019506
,0.020994
,0.019588
,0.018875
,0.021829
,0.021503
,0.019506
,0.021585
,0.021890
,0.018854
,0.019955
,0.019302
,0.019262
,0.021442
,0.020260
,0.025110
,0.025069
,0.048788
,0.087749
,0.163002
,0.263522
,0.257083
,0.190552
,0.231367
,0.375372
,0.483432
,0.404960
,0.242493
,0.096165
,0.032894
,0.030979
,0.025762
,0.022970
,0.019302
,0.021646
,0.019302
,0.021829
,0.019955
,0.020444
,0.023296
,0.020607
4337,0.020281
,0.022318
,0.022807
,0.020382
,0.020790
,0.020627
,0.019038
,0.024010
,0.019975
