Marks,Intensity(V)
,0.012252
,0.011824
,0.012028
,0.012130
,0.012232
,0.012537
,0.012537
,0.012252
6544,0.011763
,0.012130
,0.012884
,0.012211
,0.012598
,0.012639
,0.012334
,0.012598
,0.012680
,0.012558
,0.012863
,0.012476
,0.012639
,0.012578
,0.012150
,0.011580
,0.013087
,0.012721
,0.013006
,0.013515
,0.012232
,0.012863
,0.013026
,0.013577
,0.013128
,0.013230
,0.013067
,0.013475
,0.013169
,0.013291
,0.013780
,0.013984
,0.014045
,0.014045
,0.013597
,0.014310
,0.014677
,0.015410
,0.015247
,0.015777
,0.015859
,0.017224
,0.018039
,0.018630
,0.019608
,0.024499
,0.031060
,0.043225
,0.058977
,0.083939
,0.123104
,0.172518
,0.239172
,0.332050
,0.517564
,0.944403
,1.345119
,1.561809
,1.348522
,0.899268
,0.569566
,0.548924
,0.768671
,1.237915
,2.137830
,2.824559
,3.133007
,2.753871
,1.782045
,0.783220
,0.258734
,0.061076
,0.034606
,0.026414
,0.022257
,0.020627
,0.019343
,0.018263
,0.017530
,0.016287
,0.016103
,0.015431
,0.015410
,0.015227
,0.015512
,0.015512
,0.014066
,0.013577
,0.015084
,0.014167
,0.014249
,0.013984
6562,0.014086
,0.013882
,0.013475
,0.013414
,0.013841
,0.013026
,0.012619
,0.012680
,0.012802
,0.012537
,0.012782
,0.012843
,0.012945
,0.012517
,0.012598
