Marks,Intensity(V)
,0.012293
,0.013026
,0.012823
,0.012354
,0.013271
,0.013210
,0.013149
6563,0.013414
,0.012721
,0.013352
,0.014066
,0.012884
,0.013414
,0.013332
,0.013108
,0.013291
,0.013169
,0.013882
,0.013882
,0.013780
,0.013821
,0.013882
,0.013312
,0.013984
,0.014371
,0.015207
,0.016103
,0.015757
,0.016450
,0.016470
,0.017265
,0.016776
,0.016429
,0.017326
,0.018610
,0.018813
,0.018813
,0.019873
,0.022868
,0.025497
,0.032038
,0.049563
,0.105212
,0.742588
,1.899784
,2.894228
,2.998641
,2.287744
,1.877329
,1.080319
,0.598705
,0.469046
,0.593326
,1.028500
,1.389276
,1.465120
,1.072983
,0.573805
,0.359458
,0.235055
,0.159640
,0.122227
,0.075258
,0.053495
,0.039659
,0.032405
,0.027392
,0.025599
,0.022685
,0.019588
,0.017428
,0.018019
,0.017122
,0.016613
6550,0.016715
,0.015879
,0.015533
,0.015859
,0.014840
,0.014575
,0.014066
,0.014229
,0.014392
,0.014616
,0.015451
,0.014514
,0.015736
