Marks,Intensity(V)
,0.012211
,0.012170
,0.013067
6565,0.012741
,0.012863
,0.013128
,0.012109
,0.012497
,0.012598
,0.012782
,0.013108
,0.012700
,0.013352
,0.012680
,0.013678
,0.013026
,0.012924
,0.013149
,0.012884
,0.013515
,0.012517
,0.013210
,0.013495
,0.013352
,0.013801
,0.013434
,0.013475
,0.014473
,0.013719
,0.013393
,0.013414
,0.013903
,0.014371
,0.014860
,0.014229
,0.015370
,0.015370
,0.014636
,0.015329
,0.016857
,0.016470
,0.017672
,0.017183
,0.018161
,0.020097
,0.022115
,0.026903
,0.035767
,0.047117
,0.162166
,0.526183
,1.397611
,2.264025
,3.043613
,3.196604
,2.777060
,1.671846
,0.858697
,0.600315
,0.517666
,0.753673
,1.121460
,1.500006
,1.189703
,0.714040
,0.394649
,0.239416
,0.170806
,0.137266
,0.077744
,0.054840
,0.045711
,0.034585
,0.029960
,0.025538
,0.021585
,0.018467
,0.016531
,0.016348
,0.016001
,0.014392
,0.015084
,0.014820
,0.014025
,0.014004
,0.014290
,0.014351
,0.012537
,0.013577
,0.013149
,0.012843
,0.013128
,0.013414
6547,0.013678
,0.012884
,0.012619
,0.013352
,0.013108
,0.013230
,0.012435
,0.013475
,0.013047
,0.012619
,0.013047
,0.012109
