Marks,Intensity(V)
,0.014310
,0.013862
,0.014657
,0.014269
,0.014249
,0.014677
,0.014310
,0.013882
6548,0.013026
,0.013964
,0.013740
,0.013434
,0.014820
,0.013699
,0.013903
,0.014086
,0.014351
,0.014514
,0.014473
,0.014392
,0.014106
,0.014290
,0.014351
,0.015064
,0.014840
,0.016083
,0.015003
,0.016307
,0.017428
,0.017061
,0.018223
,0.019180
,0.019364
,0.020994
,0.024845
,0.029674
,0.039170
,0.059466
,0.082838
,0.133944
,0.198356
,0.313079
,0.389351
,0.649567
,1.139942
,1.386036
,1.378334
,0.929345
,0.552959
,0.501160
,0.963904
,1.246453
,2.083830
,2.983032
,2.887361
,2.420053
,0.833063
,0.268189
,0.116196
,0.047973
,0.029654
,0.026781
,0.023133
,0.021605
,0.020423
,0.019343
,0.018936
,0.018039
,0.017428
,0.017244
,0.017611
,0.016185
6561,0.015900
,0.015207
,0.015247
,0.015431
,0.015349
,0.014269
,0.014677
,0.014779
,0.014534
,0.015309
,0.015410
