Marks,Intensity(V)
,0.012823
,0.012863
,0.013006
,0.013189
,0.012456
6548,0.012945
,0.013230
,0.013271
,0.012334
,0.012884
,0.013250
,0.013230
,0.013780
,0.013210
,0.013414
,0.013678
,0.013903
,0.013882
,0.014310
,0.014086
,0.015492
,0.014677
,0.014575
,0.014616
,0.015533
,0.016022
,0.016796
,0.016226
,0.018202
,0.020077
,0.021870
,0.028187
,0.036277
,0.046404
,0.069165
,0.105253
,0.144887
,0.214984
,0.326915
,0.451094
,0.589026
,1.047878
,1.568249
,1.681790
,1.370203
,0.852706
,0.555852
,0.599765
,1.360219
,2.120346
,2.723183
,3.302871
,2.940036
,2.803143
,1.837451
,0.556892
,0.191163
,0.087851
,0.042777
,0.028207
,0.026231
,0.022665
,0.021014
,0.019262
,0.019425
,0.017509
,0.016735
,0.016083
,0.016022
,0.016083
,0.014983
,0.015838
,0.015696
,0.015370
,0.015533
,0.014534
6562,0.014881
,0.014840
,0.014534
,0.013332
,0.014086
,0.013047
,0.014453
,0.013699
,0.013597
,0.014025
,0.013515
,0.013515
,0.012986
