Marks,Intensity(V)
,0.496759
,0.495862
,0.493682
,0.488914
,0.487120
,0.480355
,0.480783
,0.482780
,0.484920
,0.481680
,0.482821
,0.474466
,0.484105
,0.486061
,0.470431
,0.475730
,0.465928
,0.473529
,0.461160
,0.464746
,0.453335
,0.367649
,0.193343
,0.354017
,0.450849
,0.461771
,0.394241
,0.336472
,0.311531
,0.300466
,0.292702
,0.297267
,0.298408
,0.300446
,0.270145
,0.206996
,0.178162
,0.173435
,0.164163
,0.154831
,0.151407
,0.153201
,0.146761
,0.133740
,0.109981
,0.098997
,0.088972
,0.078661
,0.078152
,0.077683
,0.080271
,0.085161
,0.093516
,0.118763
,0.116827
,0.108880
,0.118967
,0.161413
,0.229696
,0.293762
,0.269289
,0.185702
,0.180058
6555,0.191815
,0.188494
,0.233405
,0.310390
,0.438460
,0.552449
,0.660428
,1.049488
,1.877736
,2.385677
,2.707839
,2.323506
,1.654892
,1.160727
,1.015377
,1.629686
,2.242629
,2.982359
,4.395390
,5.245035
,5.133246
,4.657603
,2.202507
,1.037466
,0.548843
,0.339631
,0.244551
,0.223379
,0.202758
,0.190083
,0.136940
,0.081514
,0.052986
,0.041656
6560,0.041188
,0.044509
,0.056593
,0.097408
,0.122003
,0.127851
,0.131458
,0.154729
,0.247302
,0.304439
,0.327690
,0.315097
,0.294985
,0.296900
,0.298326
,0.249381
,0.096185
,0.121514
,0.192406
,0.204429
,0.124591
,0.083348
