Marks,Intensity(V)
,0.014269
,0.014167
,0.014290
,0.014840
,0.014738
6562,0.013903
,0.014188
,0.015247
,0.013984
,0.014514
,0.014820
,0.014351
,0.014575
,0.014983
,0.014758
,0.015084
,0.014738
,0.014779
,0.015390
,0.015573
,0.015818
,0.015614
,0.015777
,0.016368
,0.016327
,0.017856
,0.018487
,0.018528
,0.018345
,0.019201
,0.021361
,0.022074
,0.024356
,0.026964
,0.041391
,0.115360
,0.255881
,1.372486
,2.894228
,2.936470
,2.553605
,1.573526
,1.382124
,0.778860
,0.507334
,0.522332
,0.831106
,1.363703
,1.473638
,1.088918
,0.675120
,0.344725
,0.236523
,0.160842
,0.098692
,0.072385
,0.049726
,0.033261
,0.026862
,0.023439
,0.020382
,0.020056
,0.019527
,0.018691
,0.017265
,0.016490
,0.015859
,0.015859
6550,0.016633
,0.015349
,0.015635
,0.014575
,0.014657
,0.014881
,0.014534
,0.014595
,0.014840
,0.014432
,0.014188
,0.014636
,0.014045
,0.014473
,0.013964
,0.014371
