Marks,Intensity(V)
,0.013556
,0.013067
,0.013536
,0.013087
,0.013515
,0.013923
,0.013536
6547,0.014412
,0.013841
,0.013332
,0.013801
,0.013638
,0.014453
,0.013740
,0.014636
,0.014290
,0.014697
,0.014860
,0.014432
,0.014636
,0.014290
,0.015084
,0.014738
,0.014514
,0.016063
,0.015940
,0.015349
,0.016205
,0.016307
,0.017244
,0.018630
,0.018650
,0.019914
,0.020056
,0.024213
,0.030958
,0.037825
,0.058039
,0.086465
,0.129665
,0.195748
,0.310328
,0.399213
,0.612562
,1.151740
,1.472721
,1.398731
,0.888244
,0.572521
,0.466417
,0.914428
,1.486231
,2.241020
,2.956929
,2.635521
,2.321937
,0.792777
,0.153099
,0.085039
,0.044692
,0.029573
,0.026455
,0.023541
,0.020158
,0.019914
,0.018467
,0.017570
,0.017815
,0.017163
,0.017387
,0.016674
6561,0.016266
,0.016001
,0.016042
,0.014555
,0.014962
,0.015044
,0.015472
,0.015614
,0.015227
,0.013719
,0.014779
