Marks,Intensity(V)
,0.012761
,0.012109
,0.012374
,0.012700
4861,0.011559
,0.012598
,0.012170
,0.012537
,0.013393
,0.011865
,0.012150
,0.012354
,0.012170
,0.012028
,0.012537
,0.012191
,0.011946
,0.012252
,0.012354
,0.012191
,0.012028
,0.012334
,0.012130
,0.012334
,0.012537
,0.013332
,0.013393
,0.013597
,0.013841
,0.015390
,0.015859
,0.017672
,0.033587
,0.144418
,0.302422
,0.433447
,0.436768
,0.281210
,0.182523
,0.172966
,0.210481
,0.237378
,0.192528
,0.137306
,0.075604
,0.038212
,0.024641
,0.019364
,0.015125
,0.014045
,0.013495
,0.012823
,0.011967
,0.012456
,0.012741
,0.012435
,0.013556
,0.013597
,0.013006
4849,0.012313
,0.012089
,0.012639
,0.012619
,0.012374
,0.012272
,0.012965
,0.012191
,0.012435
,0.012802
,0.012863
,0.012782
,0.012619
,0.011661
,0.012863
,0.012660
,0.012293
