Marks,Intensity(V)
,0.012578
,0.012334
,0.012517
,0.012456
,0.012334
4846,0.013414
,0.011926
,0.012334
,0.012130
,0.012028
,0.012843
,0.012069
,0.012252
,0.012598
,0.012150
,0.012497
,0.012884
,0.012476
,0.012211
,0.012272
,0.012456
,0.012537
,0.012211
,0.011926
,0.013006
,0.012354
,0.013332
,0.013026
,0.013149
,0.013169
,0.014636
,0.015309
,0.018997
,0.022746
,0.044672
,0.084978
,0.141504
,0.234077
,0.250950
,0.196991
,0.152528
,0.213211
,0.344053
,0.499693
,0.507457
,0.330257
,0.127118
,0.059466
,0.027942
,0.015838
,0.015207
,0.014106
,0.013352
,0.013699
,0.013638
,0.013434
,0.013393
,0.012232
,0.013250
,0.013414
,0.012456
4859,0.012395
,0.012843
,0.013352
,0.013067
,0.012170
,0.012272
,0.012170
,0.012517
,0.012211
,0.013230
,0.012150
,0.012578
,0.012130
,0.012354
