Marks,Intensity(V)
,0.012660
,0.012211
,0.012721
,0.012130
,0.012232
4860,0.012700
,0.012761
,0.012802
,0.012619
,0.011681
,0.011946
,0.012313
,0.012435
,0.012211
,0.012476
,0.012639
,0.012497
,0.012904
,0.012272
,0.012313
,0.012435
,0.012782
,0.012863
,0.012823
,0.012884
,0.013841
,0.014555
,0.014025
,0.015879
,0.015940
,0.024865
,0.099283
,0.244307
,0.413070
,0.470615
,0.355831
,0.221647
,0.159762
,0.185356
,0.238642
,0.230960
,0.178101
,0.143929
,0.066740
,0.040026
,0.026699
,0.019201
,0.016205
,0.014127
,0.013393
,0.013658
,0.012904
,0.012558
,0.012517
,0.012986
,0.012395
,0.013047
,0.012863
,0.013169
,0.012761
,0.012272
4848,0.012272
,0.012415
,0.012476
,0.012904
,0.012374
,0.011539
,0.011926
,0.012537
,0.012089
,0.012700
,0.012415
,0.012435
,0.012639
,0.012150
,0.012313
,0.012313
,0.012069
,0.012150
,0.012089
