Marks,Intensity(V)
,0.012782
,0.012823
,0.012252
,0.012721
4847,0.012863
,0.012252
,0.012476
,0.012558
,0.012150
,0.012130
,0.012252
,0.012761
,0.012435
,0.012924
,0.012456
,0.012435
,0.012680
,0.012456
,0.012374
,0.012334
,0.012048
,0.013128
,0.012415
,0.012782
,0.013006
,0.013210
,0.013658
,0.013821
,0.014412
,0.015492
,0.017611
,0.020342
,0.032894
,0.061320
,0.096715
,0.183970
,0.230511
,0.229329
,0.166690
,0.159008
,0.208830
,0.377919
,0.486794
,0.443574
,0.253660
,0.124000
,0.059547
,0.019853
,0.014921
,0.014697
,0.013984
,0.012741
,0.013047
,0.013638
,0.014004
,0.013862
,0.013332
,0.013189
,0.013210
4859,0.012741
,0.013067
,0.012435
,0.012395
,0.012741
,0.012232
,0.012578
,0.011987
,0.012354
,0.013271
,0.012986
