Marks,Intensity(V)
,0.012598
,0.012680
,0.011967
,0.012619
,0.012272
,0.012415
4845,0.012497
,0.011946
,0.011722
,0.012272
,0.012313
,0.012334
,0.012497
,0.012109
,0.012170
,0.012598
,0.012232
,0.012170
,0.011926
,0.012456
,0.012965
,0.012598
,0.011906
,0.011763
,0.012660
,0.012435
,0.012558
,0.012109
,0.013047
,0.013210
,0.012639
,0.012761
,0.012578
,0.012965
,0.012619
,0.012721
,0.013230
,0.012415
,0.014840
,0.015084
,0.015900
,0.017978
,0.023459
,0.038477
,0.067576
,0.126364
,0.207057
,0.240048
,0.223787
,0.164754
,0.166935
,0.240578
,0.407568
,0.483554
,0.441557
,0.273446
,0.134107
,0.044326
,0.016592
,0.016490
,0.014249
,0.013699
,0.014229
,0.013678
,0.013108
,0.013149
,0.013047
,0.013332
,0.013250
,0.013169
4859,0.012721
,0.012415
,0.013434
,0.012170
,0.012089
,0.011906
,0.012374
,0.012313
,0.012782
,0.012293
,0.012109
