Marks,Intensity(V)
,0.013658
,0.013678
,0.012986
,0.012435
4847,0.012680
,0.012293
,0.012435
,0.012395
,0.011824
,0.012028
,0.012802
,0.012884
,0.013230
,0.012619
,0.012619
,0.012334
,0.012741
,0.012965
,0.013006
,0.013434
,0.013128
,0.012924
,0.012456
,0.012884
,0.013352
,0.013414
,0.013577
,0.013923
,0.014718
,0.016470
,0.018447
,0.023745
,0.040108
,0.065905
,0.123735
,0.203940
,0.244307
,0.219711
,0.164306
,0.162044
,0.245285
,0.431633
,0.494395
,0.440518
,0.283145
,0.160108
,0.055533
,0.019139
,0.015818
,0.014779
,0.013740
,0.013495
,0.013250
,0.013943
,0.013434
,0.013087
,0.013638
4858,0.013210
,0.012843
,0.013128
,0.013026
,0.012904
,0.012456
,0.012232
,0.012456
,0.012374
,0.011906
,0.012211
,0.012578
,0.012884
