Marks,Intensity(V)
,0.013189
,0.012700
,0.012293
,0.012191
,0.013169
4860,0.012761
,0.012680
,0.012660
,0.012130
,0.011946
,0.012578
,0.012456
,0.012761
,0.012945
,0.012761
,0.012639
,0.012823
,0.012863
,0.012965
,0.013210
,0.013332
,0.013434
,0.013882
,0.014045
,0.014249
,0.015472
,0.018039
,0.044978
,0.187271
,0.349188
,0.455169
,0.394669
,0.242941
,0.167179
,0.182258
,0.225560
,0.235280
,0.175513
,0.126058
,0.072181
,0.037846
,0.025782
,0.020770
,0.014677
,0.013780
,0.013515
,0.013067
,0.013006
,0.012660
,0.012843
,0.012374
,0.012598
4849,0.012395
,0.012537
,0.012823
,0.012497
,0.012700
,0.012598
,0.012456
,0.013026
,0.012089
,0.012435
,0.012048
,0.012415
,0.012598
