Marks,Intensity(V)
,0.012313
,0.012334
,0.012395
,0.012374
,0.012395
4861,0.012598
,0.012354
,0.012578
,0.011885
,0.012232
,0.012741
,0.013454
,0.012884
,0.012843
,0.012823
,0.012415
,0.012843
,0.011987
,0.012435
,0.012700
,0.012761
,0.012843
,0.012272
,0.012252
,0.013414
,0.013454
,0.013006
,0.013332
,0.013108
,0.013352
,0.014106
,0.014310
,0.014901
,0.016653
,0.024295
,0.079660
,0.245264
,0.402413
,0.472591
,0.391735
,0.228922
,0.160434
,0.196400
,0.233507
,0.234281
,0.161249
,0.119843
,0.049746
,0.029837
,0.020607
,0.016878
,0.013740
,0.013780
,0.014045
,0.012924
,0.013128
,0.013393
,0.012660
,0.012700
,0.012965
,0.012924
,0.012578
,0.012761
,0.012334
4848,0.012130
,0.012293
,0.012150
,0.012660
,0.013006
,0.013067
,0.012007
,0.013556
,0.012089
,0.012130
