Marks,Intensity(V)
,0.012109
,0.012456
,0.012904
,0.012211
,0.012211
4847,0.012802
,0.013087
,0.012150
,0.012191
,0.012048
,0.012761
,0.012191
,0.012211
,0.012354
,0.012721
,0.012497
,0.013169
,0.012211
,0.012497
,0.012558
,0.012660
,0.012904
,0.012252
,0.012109
,0.013128
,0.012782
,0.012843
,0.013169
,0.013434
,0.013597
,0.014514
,0.015105
,0.018895
,0.021707
,0.035278
,0.071081
,0.111509
,0.189696
,0.234464
,0.215453
,0.155259
,0.169237
,0.239294
,0.403411
,0.475424
,0.401924
,0.179609
,0.084835
,0.034871
,0.016246
,0.015003
,0.013597
,0.013006
,0.013577
,0.012965
,0.013026
,0.013149
,0.012986
,0.013495
,0.013067
,0.012823
4859,0.012904
,0.012843
,0.012924
,0.013047
,0.012048
,0.012334
,0.013352
,0.012150
,0.012598
,0.012843
,0.012782
,0.012415
,0.012761
,0.012232
