Box,freq (Hz),x (pressure node(s)),y (pressure node(s))
3,3085,1,0
3,4253,0,1
3,5257,1,1
7,3708,1,0
7,6302,1,1
7,8496,2,1
2,4213,1,0
2,6214,1,1
2,8529,2,0
1,5244,1,1
1,6151,2,0
1,7094,2,1
4,5094,0,0
4,6272,1,0
4,8393,1,1
5,5079,0,1
5,6284,1,1
5,8364,1,0
6,4294,0,1
6,5276,1,1
6,6171,2,0
