Time(s),Position(V)
0.333000,-1.793409
3.347000,-1.805845
6.347000,-1.787600
9.347000,-1.788171
12.347000,-1.802153
15.345000,-1.772506
18.346000,-1.809214
21.346000,-1.812344
24.346000,-1.806538
27.346000,-1.807310
30.344000,-1.803373
33.344000,-1.810138
36.344000,-1.815095
39.345000,-1.806280
42.345000,-1.776586
45.345000,-1.785700
48.343000,-1.795269
51.343000,-1.805070
54.343000,-1.811991
57.344000,-1.812232
60.344000,-1.803513
63.342000,-1.777595
66.342000,-1.800409
69.342000,-1.800637
72.342000,-1.774801
75.342000,-1.804889
78.341000,-1.811053
81.341000,-1.780937
84.341000,-1.784656
87.341000,-1.827469
90.341000,-1.793692
93.341000,-1.774464
96.340000,-1.784979
99.340000,-1.774644
102.340000,-1.782317
105.340000,-1.753809
108.340000,-1.750593
111.338000,-1.746793
114.339000,-1.712363
117.339000,-1.688094
120.339000,-1.649537
123.339000,-1.614506
126.337000,-1.564568
129.337000,-1.511278
132.337000,-1.456781
135.338000,-1.401751
138.338000,-1.339133
141.336000,-1.292118
144.336000,-1.240511
147.336000,-1.188883
150.336000,-1.143772
153.337000,-1.107310
156.337000,-1.060458
159.335000,-1.017601
162.335000,-0.970403
165.335000,-0.927162
168.335000,-0.875942
171.335000,-0.816795
174.334000,-0.765514
177.334000,-0.688143
180.334000,-0.622615
183.334000,-0.546443
186.334000,-0.464757
189.332000,-0.382388
192.333000,-0.311431
195.333000,-0.207007
198.333000,-0.121405
201.332000,-0.024207
204.332000,0.062897
207.332000,0.146809
210.332000,0.231789
213.331000,0.309412
216.331000,0.395796
219.331000,0.473229
222.331000,0.551240
225.331000,0.629716
228.331000,0.705905
231.330000,0.785711
234.330000,0.861818
237.330000,0.946566
240.330000,1.028157
243.330000,1.115374
246.328000,1.193493
249.328000,1.287818
252.329000,1.373019
255.329000,1.472358
258.329000,1.565024
261.327000,1.666980
264.327000,1.763063
267.327000,1.862789
270.328000,1.959810
273.328000,2.042386
276.326000,2.138095
279.326000,2.237155
282.326000,2.321377
285.326000,2.400254
288.326000,2.474451
291.327000,2.546159
294.325000,2.608203
297.325000,2.679020
300.325000,2.734506
303.325000,2.807649
306.325000,2.862635
309.324000,2.933031
312.324000,2.999827
315.324000,3.082448
318.324000,3.172459
321.324000,3.256861
324.322000,3.329463
327.322000,3.402245
330.323000,3.463687
333.323000,3.498919
336.323000,3.567741
339.323000,3.618499
342.321000,3.671418
345.321000,3.727601
348.322000,3.779409
351.322000,3.831509
354.322000,3.882810
357.320000,3.929458
360.320000,3.968354
363.320000,4.001955
366.320000,4.031659
369.321000,4.055109
372.319000,4.083406
375.319000,4.111866
378.319000,4.140160
381.319000,4.154386
384.319000,4.189537
387.318000,4.209087
390.318000,4.229589
393.318000,4.258515
396.318000,4.275757
399.318000,4.261877
402.318000,4.296300
405.316000,4.310667
408.317000,4.329408
411.317000,4.334833
414.317000,4.316619
417.317000,4.296096
420.315000,4.294913
423.315000,4.287635
426.316000,4.269241
429.316000,4.258723
432.316000,4.250112
435.314000,4.230681
438.314000,4.210865
441.314000,4.202203
444.315000,4.180817
447.315000,4.161926
450.315000,4.149117
453.313000,4.129825
456.313000,4.109242
459.313000,4.084925
462.313000,4.063104
465.314000,4.028844
468.312000,4.001176
471.312000,3.970904
474.312000,3.933374
477.312000,3.894151
480.312000,3.841867
483.311000,3.793792
486.311000,3.740424
489.311000,3.685774
492.310000,3.635020
495.310000,3.589508
498.310000,3.540393
501.310000,3.493779
504.311000,3.449709
507.309000,3.401127
510.309000,3.351872
513.309000,3.296573
516.309000,3.239333
519.309000,3.180288
522.308000,3.112996
525.308000,3.048814
528.308000,2.987722
531.308000,2.921647
534.308000,2.859555
537.308000,2.799569
540.306000,2.742821
543.307000,2.681944
546.307000,2.618354
549.307000,2.556735
552.307000,2.496932
555.305000,2.435102
558.305000,2.369085
561.306000,2.303009
564.306000,2.233728
567.306000,2.161201
570.304000,2.087817
573.304000,2.016044
576.304000,1.944890
579.304000,1.872886
582.305000,1.804312
585.305000,1.740973
588.303000,1.675799
591.303000,1.611076
594.303000,1.544382
597.303000,1.483090
600.304000,1.422409
603.302000,1.358421
606.302000,1.295654
609.302000,1.229963
612.302000,1.170407
615.302000,1.108945
618.300000,1.045555
621.301000,0.985946
624.301000,0.926418
627.301000,0.862450
630.301000,0.802518
633.301000,0.745767
636.299000,0.690325
639.300000,0.629312
642.300000,0.571579
645.300000,0.521229
648.300000,0.472535
651.298000,0.422842
654.298000,0.372744
657.298000,0.322633
660.299000,0.276968
663.299000,0.231524
666.297000,0.187093
669.297000,0.148366
672.297000,0.102841
675.297000,0.071946
678.298000,0.029239
681.296000,-0.009542
684.296000,-0.043625
687.296000,-0.079422
690.296000,-0.112702
693.296000,-0.141519
696.296000,-0.170867
699.295000,-0.198620
702.295000,-0.221672
705.295000,-0.244438
708.295000,-0.268843
711.295000,-0.293421
714.293000,-0.309364
717.294000,-0.300495
720.294000,-0.344267
723.294000,-0.357586
726.294000,-0.370681
729.293000,-0.379829
732.293000,-0.370718
735.293000,-0.391672
738.292000,-0.400878
741.292000,-0.408153
744.292000,-0.404573
747.292000,-0.409428
750.292000,-0.413038
753.290000,-0.405651
756.291000,-0.377479
759.291000,-0.379451
762.291000,-0.387593
765.291000,-0.371258
768.289000,-0.370796
771.289000,-0.325889
774.289000,-0.309184
777.290000,-0.291419
780.290000,-0.279157
783.290000,-0.259073
786.288000,-0.233271
789.288000,-0.210195
792.288000,-0.192715
795.289000,-0.160560
798.289000,-0.142726
801.287000,-0.108042
804.287000,-0.083766
807.287000,-0.049836
810.287000,-0.017252
813.287000,0.011242
816.286000,0.044061
819.286000,0.081791
822.286000,0.115888
825.286000,0.146816
828.286000,0.183673
831.286000,0.221223
834.285000,0.265498
837.285000,0.309898
840.285000,0.352596
843.285000,0.388083
846.285000,0.432694
849.283000,0.478376
852.284000,0.524466
855.284000,0.564817
858.284000,0.619698
861.284000,0.668178
864.284000,0.710175
867.282000,0.766235
870.282000,0.807875
873.283000,0.855930
876.282000,0.907915
879.282000,0.956422
882.282000,1.003868
885.282000,1.053639
888.280000,1.101810
891.281000,1.154780
894.281000,1.197885
897.281000,1.252079
900.281000,1.305631
903.281000,1.360906
906.279000,1.412354
909.279000,1.458923
912.280000,1.515646
915.280000,1.563334
918.280000,1.612167
921.278000,1.664152
924.278000,1.718108
927.278000,1.772496
930.279000,1.823495
933.279000,1.871210
936.277000,1.920560
939.277000,1.965504
942.277000,2.014249
