Time(s),Position(V)
0.357000,0.605118
3.372000,0.598536
6.373000,0.593369
9.371000,0.587675
12.371000,0.584113
15.371000,0.581682
18.371000,0.573360
21.371000,0.566422
24.370000,0.561360
27.371000,0.554326
30.371000,0.552963
33.369000,0.554690
36.369000,0.548792
39.369000,0.543486
42.369000,0.540800
45.370000,0.542282
48.370000,0.532080
51.368000,0.533236
54.368000,0.524948
57.368000,0.535493
60.368000,0.533059
63.368000,0.522970
66.367000,0.523534
69.367000,0.523072
72.367000,0.523228
75.367000,0.516392
78.367000,0.512646
81.365000,0.513254
84.366000,0.511235
87.366000,0.516688
90.366000,0.532845
93.366000,0.514029
96.364000,0.531683
99.364000,0.529279
102.364000,0.515579
105.365000,0.523731
108.365000,0.540861
111.365000,0.542534
114.363000,0.541646
117.363000,0.529653
120.363000,0.548265
123.364000,0.543968
126.364000,0.548959
129.362000,0.563457
132.362000,0.563910
135.362000,0.554904
138.362000,0.568604
141.362000,0.575910
144.362000,0.554197
147.362000,0.576076
150.362000,0.589929
153.360000,0.585071
156.360000,0.594817
159.360000,0.599995
162.361000,0.588777
165.361000,0.600590
168.359000,0.611563
171.359000,0.610486
174.359000,0.635478
177.359000,0.633340
180.360000,0.629862
183.360000,0.651826
186.358000,0.639242
189.358000,0.666430
192.358000,0.662018
195.358000,0.667141
198.358000,0.689900
201.357000,0.697804
204.357000,0.706201
207.357000,0.710579
210.357000,0.717184
213.357000,0.719319
216.355000,0.730354
219.356000,0.739628
222.357000,0.744152
225.355000,0.744819
228.355000,0.757407
231.355000,0.758359
234.355000,0.787546
237.355000,0.773344
240.354000,0.796038
243.354000,0.799638
246.354000,0.814841
249.354000,0.824788
252.354000,0.819556
255.352000,0.839456
258.353000,0.840537
261.353000,0.849417
264.353000,0.857524
267.353000,0.866003
270.353000,0.882660
273.351000,0.878927
276.351000,0.892787
279.352000,0.897206
282.352000,0.905953
285.352000,0.890499
288.350000,0.920156
291.350000,0.931367
294.350000,0.933094
297.351000,0.944748
300.351000,0.947535
303.349000,0.952488
306.349000,0.961038
309.349000,0.945132
312.349000,0.959199
315.349000,0.979364
318.350000,0.973143
321.348000,0.972691
324.348000,0.979361
327.348000,0.971814
330.348000,0.997596
333.348000,1.003926
336.347000,1.011309
339.347000,0.992432
342.347000,1.011401
345.347000,1.006693
348.347000,1.005520
351.345000,1.026719
354.345000,1.020134
357.346000,1.020430
360.346000,1.038165
363.346000,1.019383
366.344000,1.031454
369.344000,1.044655
372.344000,1.048649
375.344000,1.043750
378.344000,1.041728
381.344000,1.045742
384.344000,1.060890
387.344000,1.040813
390.344000,1.038298
393.342000,1.049172
396.343000,1.059813
399.343000,1.041252
402.343000,1.029738
405.343000,1.039871
408.341000,1.049040
411.341000,1.059714
414.342000,1.036785
417.342000,1.031594
420.342000,1.035734
423.340000,1.023445
426.340000,1.032478
429.340000,1.037706
432.341000,1.017404
435.341000,1.008522
438.341000,0.994227
441.339000,0.975469
444.339000,0.959746
447.339000,0.941607
450.339000,0.919415
453.340000,0.893977
456.338000,0.869592
459.338000,0.839854
462.338000,0.809170
465.338000,0.773904
468.338000,0.742806
471.336000,0.706622
474.338000,0.670160
477.338000,0.629465
480.336000,0.586628
483.336000,0.543224
486.336000,0.498983
489.336000,0.453682
492.337000,0.408017
495.335000,0.359466
498.335000,0.306305
501.335000,0.251754
504.335000,0.200905
507.335000,0.145834
510.334000,0.091585
513.334000,0.037479
516.334000,-0.019363
519.333000,-0.078602
522.333000,-0.135047
525.333000,-0.194551
528.333000,-0.255633
531.334000,-0.318077
534.332000,-0.379373
537.332000,-0.443953
540.332000,-0.508321
543.332000,-0.573095
546.332000,-0.638745
549.333000,-0.704841
552.331000,-0.770376
555.331000,-0.832348
558.331000,-0.897577
561.331000,-0.960507
564.331000,-1.025964
567.329000,-1.089259
570.330000,-1.157768
573.330000,-1.222110
576.330000,-1.288161
579.330000,-1.356018
582.328000,-1.421155
585.328000,-1.489906
588.329000,-1.558061
591.329000,-1.621985
594.329000,-1.683879
597.327000,-1.746500
600.327000,-1.800236
603.327000,-1.858200
606.327000,-1.920339
609.328000,-1.979924
612.328000,-2.046397
615.326000,-2.113435
618.326000,-2.179374
621.326000,-2.243988
624.326000,-2.301037
627.327000,-2.355055
630.325000,-2.404578
633.325000,-2.450410
636.325000,-2.496238
639.325000,-2.544884
642.325000,-2.597389
645.323000,-2.652926
648.324000,-2.712869
651.324000,-2.768939
654.324000,-2.820516
657.324000,-2.865858
660.324000,-2.906114
663.322000,-2.941122
666.323000,-2.977853
669.323000,-3.012511
672.323000,-3.046675
675.323000,-3.083495
678.321000,-3.121953
681.321000,-3.163573
684.321000,-3.207524
687.322000,-3.245877
690.322000,-3.282598
693.320000,-3.316868
696.320000,-3.342972
699.320000,-3.368978
702.320000,-3.392275
705.321000,-3.408211
708.319000,-3.422958
711.319000,-3.441380
714.319000,-3.455226
717.319000,-3.469786
720.319000,-3.480120
723.319000,-3.487728
726.319000,-3.497746
729.319000,-3.507540
732.317000,-3.520465
735.317000,-3.525401
738.317000,-3.531347
741.317000,-3.531493
744.318000,-3.532778
747.318000,-3.536106
750.316000,-3.509835
753.316000,-3.525126
756.316000,-3.510290
759.316000,-3.497226
762.316000,-3.512068
765.315000,-3.479240
768.315000,-3.479097
771.315000,-3.460750
774.315000,-3.451898
777.315000,-3.435244
780.315000,-3.418797
783.314000,-3.411203
786.314000,-3.398254
789.314000,-3.379095
792.314000,-3.360751
795.314000,-3.342265
798.312000,-3.323905
801.312000,-3.307530
804.313000,-3.269303
807.313000,-3.243439
810.313000,-3.201001
813.312000,-3.165401
816.312000,-3.124333
819.312000,-3.083066
822.311000,-3.050173
825.311000,-3.019758
828.311000,-2.984917
831.311000,-2.958092
834.311000,-2.921674
837.309000,-2.890834
840.309000,-2.861408
843.310000,-2.823395
846.310000,-2.784118
849.310000,-2.741536
852.308000,-2.691724
855.308000,-2.639267
858.308000,-2.590977
861.309000,-2.542120
864.309000,-2.493301
867.309000,-2.455761
870.307000,-2.424407
873.307000,-2.379711
876.307000,-2.342405
879.308000,-2.300293
882.308000,-2.257732
