Time(s),Position(V)
0.334000,1.555345
3.349000,1.564704
6.349000,1.576735
9.349000,1.591060
12.349000,1.568845
15.348000,1.551541
18.348000,1.559415
21.348000,1.572785
24.348000,1.586253
27.348000,1.558752
30.346000,1.565979
33.346000,1.586991
36.347000,1.577258
39.347000,1.545045
42.347000,1.544175
45.347000,1.585414
48.345000,1.560659
51.345000,1.537556
54.346000,1.550970
57.346000,1.553707
60.346000,1.542451
63.344000,1.542444
66.344000,1.544012
69.344000,1.536047
72.344000,1.519658
75.345000,1.506352
78.343000,1.523411
81.343000,1.486296
84.343000,1.473184
87.343000,1.444146
90.342000,1.423708
93.343000,1.402577
96.343000,1.376303
99.343000,1.347213
102.341000,1.317808
105.341000,1.285969
108.341000,1.251240
111.341000,1.214522
114.342000,1.173345
117.342000,1.134094
120.340000,1.088045
123.340000,1.043835
126.340000,0.996290
129.339000,0.944721
132.340000,0.891862
135.340000,0.839643
138.340000,0.781693
141.338000,0.727437
144.338000,0.669028
147.338000,0.607565
150.338000,0.547446
153.339000,0.483604
156.339000,0.418715
159.337000,0.353823
162.337000,0.290086
165.337000,0.221951
168.337000,0.154339
171.338000,0.087271
174.336000,0.016029
177.336000,-0.055047
180.336000,-0.126331
183.336000,-0.197396
186.336000,-0.273945
189.334000,-0.349947
192.335000,-0.426969
195.335000,-0.504687
198.335000,-0.586067
201.335000,-0.664125
204.335000,-0.745522
207.333000,-0.819909
210.334000,-0.901897
213.334000,-0.979918
216.334000,-1.059680
219.334000,-1.136175
222.332000,-1.213934
225.332000,-1.293740
228.332000,-1.374429
231.333000,-1.454983
234.333000,-1.540571
237.331000,-1.618222
240.331000,-1.696603
243.331000,-1.769742
246.331000,-1.838826
249.332000,-1.911534
252.332000,-1.988086
255.330000,-2.070109
258.330000,-2.154956
261.330000,-2.240853
264.330000,-2.317283
267.330000,-2.384593
270.329000,-2.450063
273.329000,-2.508785
276.329000,-2.572314
279.328000,-2.649550
282.328000,-2.728159
285.328000,-2.806289
288.329000,-2.871487
291.329000,-2.926854
294.327000,-2.983139
297.327000,-3.030490
300.327000,-3.087200
303.327000,-3.149179
306.328000,-3.217614
309.326000,-3.284094
312.326000,-3.341745
315.326000,-3.392125
318.326000,-3.431331
321.326000,-3.470054
324.324000,-3.510783
327.325000,-3.552780
330.325000,-3.598670
333.325000,-3.649362
336.324000,-3.702989
339.324000,-3.746692
342.324000,-3.782495
345.325000,-3.814505
348.323000,-3.843526
351.323000,-3.867060
354.323000,-3.884109
357.323000,-3.909282
360.323000,-3.926320
363.323000,-3.938051
366.322000,-3.957867
369.322000,-3.980351
372.322000,-3.996797
375.322000,-4.019890
378.322000,-4.032063
381.320000,-4.046753
384.321000,-4.059541
387.321000,-4.063937
