Time(s),Position(V)
0.356000,-1.148593
3.370000,-1.148280
6.370000,-1.131487
9.368000,-1.130477
12.369000,-1.125103
15.369000,-1.115560
18.369000,-1.106769
21.369000,-1.087984
24.367000,-1.083480
27.367000,-1.085376
30.368000,-1.077316
33.368000,-1.060996
36.368000,-1.056315
39.368000,-1.052245
42.366000,-1.051735
45.366000,-1.046357
48.367000,-1.039436
51.367000,-1.029649
54.367000,-1.029506
57.365000,-1.015626
60.365000,-1.021531
63.365000,-1.010463
66.365000,-0.996617
69.366000,-1.004938
72.365000,-0.987411
75.365000,-0.989444
78.365000,-0.989712
81.363000,-0.975322
84.363000,-0.979075
87.364000,-0.965902
90.364000,-0.964634
93.364000,-0.957720
96.362000,-0.957914
99.362000,-0.973480
102.362000,-1.004320
105.362000,-1.007978
108.363000,-0.950809
111.361000,-0.956615
114.361000,-0.943595
117.362000,-0.930116
120.360000,-0.921288
123.360000,-0.906558
126.361000,-0.895432
129.361000,-0.880100
132.361000,-0.864337
135.359000,-0.844987
138.359000,-0.827041
141.359000,-0.801576
144.359000,-0.774125
147.360000,-0.739063
150.360000,-0.703688
153.358000,-0.659210
156.358000,-0.611648
159.358000,-0.564273
162.358000,-0.518200
165.359000,-0.461300
168.357000,-0.413368
171.357000,-0.352504
174.358000,-0.293618
177.356000,-0.234107
180.356000,-0.178509
183.356000,-0.126229
186.357000,-0.073214
189.357000,-0.016277
192.355000,0.041072
195.355000,0.096171
198.355000,0.147948
201.355000,0.207966
204.356000,0.269367
207.354000,0.329313
210.355000,0.393376
213.355000,0.461032
216.353000,0.531353
219.353000,0.599832
222.353000,0.665234
225.354000,0.743218
228.354000,0.819192
231.352000,0.893283
234.352000,0.970400
237.352000,1.044162
240.352000,1.122968
243.353000,1.198463
246.353000,1.273771
249.351000,1.340350
252.351000,1.414540
255.351000,1.484348
258.351000,1.553248
261.350000,1.623511
264.351000,1.693523
267.351000,1.765337
270.349000,1.836073
273.349000,1.909158
276.349000,1.982277
279.349000,2.051694
282.350000,2.126485
285.350000,2.197769
288.348000,2.272295
291.348000,2.341814
294.348000,2.408110
297.348000,2.475297
300.347000,2.533415
303.348000,2.596560
306.348000,2.656961
309.348000,2.718825
312.346000,2.778325
315.347000,2.838554
318.347000,2.899683
321.346000,2.955325
324.346000,3.019381
327.346000,3.078593
330.346000,3.145681
333.346000,3.197921
336.344000,3.246173
339.344000,3.292467
342.345000,3.335212
345.345000,3.374339
348.345000,3.414776
351.343000,3.453163
354.343000,3.486535
357.343000,3.513326
360.344000,3.553522
363.344000,3.593696
366.342000,3.631699
369.342000,3.675086
372.343000,3.717087
375.341000,3.757261
378.342000,3.792164
381.342000,3.828001
384.342000,3.854544
387.342000,3.879353
390.340000,3.899087
393.340000,3.914935
396.340000,3.926289
399.341000,3.936182
402.341000,3.949634
405.341000,3.961049
408.339000,3.965081
411.339000,3.972831
414.339000,3.972947
417.340000,3.982129
420.340000,3.985141
423.338000,3.987330
426.338000,3.986565
429.338000,3.986168
432.338000,3.986028
435.338000,3.982687
438.337000,3.979335
441.337000,3.973403
444.337000,3.964676
447.337000,3.949042
450.337000,3.936546
453.335000,3.920769
456.336000,3.903010
459.336000,3.892302
462.336000,3.865966
465.336000,3.840480
468.334000,3.812693
471.334000,3.782914
474.334000,3.750707
477.335000,3.713476
480.335000,3.676966
483.335000,3.643383
486.333000,3.614209
489.333000,3.578239
492.333000,3.545934
495.334000,3.515716
498.334000,3.487487
501.332000,3.451827
504.332000,3.418077
507.332000,3.384184
510.332000,3.350856
513.332000,3.314121
516.333000,3.275741
519.331000,3.235685
522.331000,3.192815
525.331000,3.145586
528.331000,3.096875
