Time(s),Position(V)
0.358000,-1.874986
3.373000,-1.871621
6.373000,-1.863605
9.373000,-1.862147
12.371000,-1.850772
15.372000,-1.854654
18.372000,-1.862378
21.372000,-1.862990
24.372000,-1.862894
27.372000,-1.859774
30.370000,-1.862544
33.371000,-1.871597
36.371000,-1.884284
39.371000,-1.927379
42.371000,-1.992703
45.369000,-2.090077
48.369000,-2.198126
51.369000,-2.292750
54.370000,-2.367922
57.370000,-2.421089
60.368000,-2.451334
63.368000,-2.449237
66.368000,-2.421637
69.368000,-2.362054
72.369000,-2.271483
75.369000,-2.135987
78.367000,-1.968033
81.367000,-1.808041
84.367000,-1.657553
87.367000,-1.491748
90.367000,-1.327272
93.366000,-1.189621
96.366000,-1.082014
99.366000,-0.997140
102.366000,-0.940124
105.366000,-0.909536
108.364000,-0.894106
111.365000,-0.889421
114.365000,-0.894062
117.365000,-0.902088
120.365000,-0.900276
123.363000,-0.883703
126.363000,-0.853119
129.363000,-0.800464
132.364000,-0.721430
135.364000,-0.612338
138.364000,-0.484046
141.362000,-0.335173
144.362000,-0.170000
147.362000,0.005466
150.363000,0.181756
153.363000,0.350090
156.361000,0.519462
159.361000,0.674185
162.361000,0.802824
165.361000,0.916641
168.361000,1.011452
171.360000,1.080577
174.360000,1.134455
177.360000,1.175738
180.360000,1.215668
183.360000,1.251692
186.360000,1.283888
189.359000,1.328809
192.359000,1.382105
195.358000,1.455367
198.358000,1.542985
201.358000,1.648083
204.358000,1.764657
207.358000,1.901645
210.359000,2.050409
213.357000,2.210935
216.357000,2.373895
219.357000,2.523781
222.357000,2.653633
225.357000,2.772169
228.356000,2.879045
231.356000,2.977741
234.356000,3.061402
237.356000,3.137193
240.356000,3.202823
243.354000,3.251432
246.354000,3.284189
249.355000,3.313792
252.355000,3.346199
255.355000,3.376393
258.353000,3.408912
261.353000,3.449896
264.353000,3.497291
267.354000,3.551832
270.354000,3.620630
273.354000,3.704179
276.352000,3.809572
279.352000,3.929893
282.352000,4.031788
285.352000,4.120460
288.353000,4.202557
291.351000,4.276672
294.351000,4.340028
297.351000,4.403978
300.351000,4.453879
303.351000,4.485606
306.350000,4.500054
309.350000,4.507927
312.350000,4.503120
315.350000,4.489206
318.350000,4.477539
321.350000,4.464224
324.348000,4.459743
327.349000,4.459702
330.349000,4.467511
333.349000,4.487925
336.349000,4.513574
339.347000,4.541439
342.347000,4.574312
345.348000,4.611492
348.348000,4.645157
351.348000,4.671890
354.346000,4.693657
357.346000,4.711932
360.347000,4.721165
363.346000,4.718884
366.346000,4.707346
369.346000,4.689071
372.346000,4.660332
375.346000,4.623318
378.344000,4.579193
381.344000,4.527681
384.345000,4.468198
387.345000,4.397173
390.345000,4.339195
393.343000,4.292439
396.343000,4.253515
399.344000,4.218232
402.343000,4.192607
405.343000,4.170768
408.343000,4.150936
411.343000,4.128687
414.343000,4.113046
417.341000,4.093560
420.341000,4.065763
423.342000,4.034420
426.342000,3.998790
429.342000,3.951864
432.342000,3.890697
435.340000,3.814117
438.340000,3.740298
441.341000,3.664449
444.341000,3.591691
447.341000,3.518963
450.339000,3.443831
453.339000,3.371035
456.339000,3.291947
459.339000,3.206202
462.340000,3.124258
465.338000,3.048260
468.338000,2.977571
471.338000,2.914266
474.338000,2.860052
477.338000,2.808101
480.339000,2.755301
483.337000,2.705220
486.337000,2.655629
489.337000,2.600442
492.337000,2.542240
495.337000,2.479768
498.335000,2.410983
501.336000,2.337052
504.336000,2.253200
507.336000,2.162074
510.336000,2.073899
513.334000,1.982080
516.334000,1.885868
519.336000,1.795633
522.334000,1.711265
525.334000,1.630898
528.334000,1.549026
531.334000,1.479221
534.334000,1.413183
537.332000,1.350817
540.333000,1.284514
543.333000,1.229276
546.333000,1.172559
549.333000,1.121673
552.333000,1.069923
555.331000,1.014175
558.332000,0.957948
561.332000,0.894803
564.332000,0.832916
567.332000,0.771287
570.330000,0.707326
573.330000,0.637328
576.330000,0.565942
579.331000,0.500965
582.331000,0.433452
585.329000,0.369335
588.329000,0.303728
591.329000,0.243058
594.329000,0.190108
597.330000,0.138668
600.329000,0.097299
603.329000,0.049384
606.329000,0.011375
609.327000,-0.019921
612.327000,-0.048371
615.327000,-0.082267
618.328000,-0.115044
621.328000,-0.142937
624.326000,-0.159200
627.326000,-0.201177
630.326000,-0.231228
633.326000,-0.253719
636.327000,-0.292218
639.327000,-0.324098
642.325000,-0.352820
645.325000,-0.390384
648.325000,-0.418803
651.325000,-0.444000
654.325000,-0.466559
657.324000,-0.490845
660.324000,-0.515804
663.324000,-0.515974
666.324000,-0.535646
669.324000,-0.540419
672.322000,-0.533576
675.323000,-0.536024
678.323000,-0.523510
681.323000,-0.523762
684.323000,-0.505228
687.323000,-0.496535
690.321000,-0.483019
693.321000,-0.472566
696.322000,-0.472464
699.322000,-0.463737
702.322000,-0.468099
705.321000,-0.445309
708.321000,-0.431616
711.321000,-0.422665
714.320000,-0.428978
717.320000,-0.399807
720.320000,-0.384537
723.320000,-0.368495
726.320000,-0.346742
729.318000,-0.320967
732.318000,-0.294733
735.319000,-0.261592
