Time(s),Position(V)
0.357000,0.997919
3.373000,0.986095
6.373000,0.974762
9.371000,0.962150
12.371000,0.951897
15.371000,0.937004
18.371000,0.925391
21.372000,0.913146
24.370000,0.901782
27.370000,0.892002
30.370000,0.880518
33.370000,0.868987
36.370000,0.856399
39.371000,0.844980
42.369000,0.831896
45.369000,0.826970
48.369000,0.812760
51.369000,0.802633
54.369000,0.790718
57.367000,0.774187
60.368000,0.769794
63.368000,0.748296
66.368000,0.702764
69.368000,0.739512
72.366000,0.715427
75.366000,0.703389
78.367000,0.681534
81.367000,0.661556
84.367000,0.635009
87.365000,0.605974
90.365000,0.578225
93.365000,0.548252
96.365000,0.514808
99.366000,0.485045
102.366000,0.450357
105.364000,0.414377
108.364000,0.373516
111.364000,0.331407
114.364000,0.288652
117.365000,0.245479
120.363000,0.205481
123.363000,0.157752
126.363000,0.109966
129.363000,0.065749
132.363000,0.018622
135.361000,-0.036429
138.362000,-0.084714
141.362000,-0.135778
144.402000,-0.191430
147.362000,-0.241851
150.362000,-0.298714
153.360000,-0.352062
156.361000,-0.409618
159.361000,-0.466559
162.361000,-0.519961
165.361000,-0.581454
168.359000,-0.640159
171.359000,-0.700024
174.359000,-0.759406
177.360000,-0.815415
180.360000,-0.872737
183.359000,-0.930371
186.359000,-0.993020
189.359000,-1.050828
192.357000,-1.108353
195.358000,-1.168181
198.358000,-1.232889
201.358000,-1.294148
204.358000,-1.354699
207.356000,-1.419707
210.356000,-1.480088
213.356000,-1.550413
216.357000,-1.613194
219.357000,-1.673606
222.355000,-1.727154
225.355000,-1.780458
228.355000,-1.829019
231.355000,-1.879708
234.356000,-1.934365
237.356000,-1.990446
240.354000,-2.048437
243.354000,-2.108788
246.354000,-2.170505
249.354000,-2.230842
252.354000,-2.280637
255.354000,-2.331898
258.353000,-2.377219
261.353000,-2.417238
264.353000,-2.460006
267.353000,-2.502625
270.351000,-2.542726
273.352000,-2.585725
276.352000,-2.632566
279.352000,-2.686105
282.352000,-2.737131
285.352000,-2.783234
288.350000,-2.829052
291.350000,-2.870995
294.351000,-2.903990
297.351000,-2.933572
300.351000,-2.962314
303.349000,-2.993079
306.349000,-3.017178
309.349000,-3.044146
312.350000,-3.072549
315.350000,-3.103745
318.350000,-3.130428
321.348000,-3.163637
324.348000,-3.197700
327.348000,-3.224518
330.348000,-3.253719
333.349000,-3.281078
336.347000,-3.307149
339.347000,-3.325931
342.347000,-3.339471
345.347000,-3.352062
348.347000,-3.368716
351.346000,-3.380713
354.346000,-3.390592
357.346000,-3.398591
360.346000,-3.397843
363.346000,-3.406423
366.344000,-3.409993
369.344000,-3.416928
372.345000,-3.412124
375.345000,-3.412359
378.345000,-3.413831
381.345000,-3.410003
384.343000,-3.407997
387.343000,-3.406287
390.344000,-3.401361
393.344000,-3.396969
396.344000,-3.387808
399.342000,-3.382743
402.342000,-3.366680
405.342000,-3.362907
408.343000,-3.340933
411.343000,-3.328406
414.341000,-3.313836
417.341000,-3.294153
420.341000,-3.271233
423.341000,-3.256116
426.341000,-3.224600
429.340000,-3.199648
432.340000,-3.166833
435.340000,-3.136605
438.340000,-3.107594
441.340000,-3.078246
444.340000,-3.053903
447.339000,-3.027761
450.340000,-3.003502
453.338000,-2.982663
456.338000,-2.956834
459.338000,-2.928085
462.338000,-2.904160
465.338000,-2.874673
468.339000,-2.845135
471.337000,-2.809036
474.337000,-2.771169
477.337000,-2.732881
480.337000,-2.688875
483.337000,-2.646137
486.336000,-2.604028
489.336000,-2.563931
492.336000,-2.527180
495.336000,-2.481851
498.335000,-2.449672
501.335000,-2.418914
504.335000,-2.379201
507.336000,-2.341239
510.334000,-2.306147
513.334000,-2.269059
516.334000,-2.228632
519.334000,-2.191371
522.334000,-2.152226
525.333000,-2.106843
528.333000,-2.062028
531.333000,-2.017131
534.333000,-1.977749
537.333000,-1.938872
540.333000,-1.899299
543.331000,-1.860205
546.332000,-1.824345
549.332000,-1.788249
552.332000,-1.754387
555.332000,-1.718302
558.331000,-1.685966
561.331000,-1.650537
564.330000,-1.617824
567.330000,-1.580168
570.330000,-1.544022
573.330000,-1.505224
576.330000,-1.466500
579.330000,-1.433257
582.328000,-1.396767
585.329000,-1.362215
588.329000,-1.324773
591.329000,-1.294447
594.329000,-1.258637
597.327000,-1.226216
600.327000,-1.192296
603.328000,-1.166219
606.328000,-1.137052
609.328000,-1.109061
612.326000,-1.081606
615.326000,-1.053371
618.326000,-1.033236
621.326000,-1.006754
624.327000,-0.983277
627.327000,-0.959841
630.325000,-0.940937
633.325000,-0.923266
636.325000,-0.898474
639.325000,-0.880851
642.326000,-0.863786
645.324000,-0.846214
648.324000,-0.830665
651.324000,-0.812998
654.324000,-0.801610
657.324000,-0.790109
660.322000,-0.778837
663.323000,-0.767364
666.323000,-0.759749
669.323000,-0.748639
672.323000,-0.738329
675.321000,-0.732142
678.321000,-0.723177
681.322000,-0.719843
684.322000,-0.717800
687.322000,-0.715746
690.322000,-0.707693
693.320000,-0.708543
696.320000,-0.710916
699.320000,-0.709804
702.321000,-0.708546
705.321000,-0.718347
708.319000,-0.714556
711.319000,-0.727831
714.319000,-0.725673
717.318000,-0.740630
720.319000,-0.742541
723.319000,-0.758552
726.319000,-0.761058
729.319000,-0.779211
732.317000,-0.784371
735.317000,-0.800655
738.318000,-0.808273
741.318000,-0.823985
744.318000,-0.836522
747.316000,-0.850277
750.316000,-0.868307
753.316000,-0.889714
756.316000,-0.909910
759.317000,-0.926805
762.317000,-0.947335
765.315000,-0.964335
768.315000,-0.989542
771.315000,-1.011482
774.314000,-1.034252
777.315000,-1.054108
780.315000,-1.080233
783.315000,-1.102510
786.315000,-1.126020
789.313000,-1.149348
792.313000,-1.179691
795.313000,-1.206312
798.314000,-1.235531
801.314000,-1.261108
804.312000,-1.292132
807.312000,-1.322057
810.312000,-1.353924
813.312000,-1.384295
816.313000,-1.415464
819.311000,-1.449105
822.311000,-1.480295
825.311000,-1.515544
828.311000,-1.548155
831.311000,-1.582823
834.311000,-1.613340
837.310000,-1.649221
840.310000,-1.677719
843.310000,-1.712914
846.310000,-1.743023
849.310000,-1.772843
852.308000,-1.801500
855.309000,-1.829859
858.309000,-1.855776
861.309000,-1.886096
864.309000,-1.920413
867.307000,-1.949023
870.307000,-1.982766
873.307000,-2.017665
876.308000,-2.051055
879.308000,-2.088265
882.308000,-2.122131
885.306000,-2.155908
888.306000,-2.189589
891.305000,-2.223438
894.306000,-2.257667
897.306000,-2.284839
900.305000,-2.315254
903.305000,-2.344166
906.305000,-2.364618
909.305000,-2.394410
912.305000,-2.416748
915.304000,-2.436866
918.304000,-2.461992
921.304000,-2.485356
924.304000,-2.508948
927.304000,-2.529236
930.302000,-2.549926
933.303000,-2.575768
