Time(s),Position(V)
0.348000,-1.780746
3.365000,-1.787862
6.365000,-1.789347
9.363000,-1.769256
12.363000,-1.789470
15.363000,-1.773142
18.363000,-1.778989
21.364000,-1.778510
24.362000,-1.761845
27.362000,-1.768172
30.362000,-1.780131
33.362000,-1.759469
36.362000,-1.750699
39.363000,-1.754924
42.361000,-1.763681
45.361000,-1.739960
48.360000,-1.759289
51.360000,-1.749556
54.360000,-1.738416
57.360000,-1.749890
60.361000,-1.728204
63.361000,-1.738478
66.359000,-1.717581
69.359000,-1.710986
72.359000,-1.714576
75.358000,-1.708861
78.359000,-1.693020
81.359000,-1.699142
84.359000,-1.697055
87.357000,-1.685803
90.357000,-1.680377
93.357000,-1.674629
96.357000,-1.687214
99.358000,-1.679058
102.358000,-1.653369
105.356000,-1.650241
108.356000,-1.659280
111.356000,-1.648361
114.355000,-1.641858
117.356000,-1.619541
120.356000,-1.619687
123.356000,-1.615750
126.356000,-1.608074
129.354000,-1.612854
132.354000,-1.599450
135.354000,-1.594031
138.355000,-1.577581
141.355000,-1.565768
144.353000,-1.567920
147.353000,-1.556457
150.353000,-1.545830
153.353000,-1.533796
156.353000,-1.532793
159.353000,-1.533929
162.353000,-1.519746
165.353000,-1.514854
168.351000,-1.504938
171.351000,-1.494529
174.351000,-1.488352
177.352000,-1.478167
180.352000,-1.490463
183.350000,-1.463903
186.350000,-1.454038
189.350000,-1.457080
192.350000,-1.447820
195.351000,-1.431860
198.349000,-1.420067
201.349000,-1.415335
204.349000,-1.413917
207.349000,-1.407564
210.348000,-1.391246
213.348000,-1.397862
216.349000,-1.386712
219.349000,-1.363235
222.347000,-1.368501
225.347000,-1.350844
228.347000,-1.356630
231.347000,-1.350276
234.348000,-1.339833
237.348000,-1.344840
240.346000,-1.319878
243.346000,-1.335050
246.345000,-1.304924
249.345000,-1.296718
252.345000,-1.300059
255.346000,-1.314912
258.346000,-1.291785
261.346000,-1.282334
264.344000,-1.276722
267.344000,-1.289732
270.344000,-1.276300
273.345000,-1.253188
276.345000,-1.275043
279.343000,-1.265579
282.343000,-1.250641
285.343000,-1.256900
288.343000,-1.244475
291.343000,-1.229466
294.342000,-1.224197
297.342000,-1.242687
300.342000,-1.234569
303.342000,-1.213033
306.341000,-1.213914
309.341000,-1.233185
312.342000,-1.227994
315.342000,-1.212136
318.340000,-1.234130
321.340000,-1.223191
324.340000,-1.212323
327.340000,-1.239617
330.340000,-1.252565
333.341000,-1.265171
336.339000,-1.265052
339.339000,-1.271619
