Time(s),Position(V)
888.287000,-0.838994
891.288000,-0.880569
894.286000,-0.922722
897.287000,-0.963322
900.287000,-1.007002
903.287000,-1.049920
906.287000,-1.091173
909.287000,-1.134461
912.285000,-1.178399
915.286000,-1.222446
918.286000,-1.269746
921.286000,-1.317519
924.286000,-1.365030
927.284000,-1.410804
930.284000,-1.454283
933.284000,-1.505995
936.285000,-1.556668
939.285000,-1.603512
942.283000,-1.648028
945.283000,-1.694291
948.283000,-1.740211
951.283000,-1.782660
954.284000,-1.824096
957.284000,-1.866274
960.282000,-1.910218
963.282000,-1.954034
966.282000,-1.998013
969.282000,-2.045038
972.282000,-2.091848
975.281000,-2.139723
978.281000,-2.189834
981.281000,-2.237668
984.281000,-2.283132
987.281000,-2.327642
990.279000,-2.366378
993.280000,-2.403966
996.280000,-2.437312
999.280000,-2.471809
1002.280000,-2.505495
1005.280000,-2.539775
1008.278000,-2.574470
1011.278000,-2.610562
1014.279000,-2.649084
1017.279000,-2.691071
1020.279000,-2.732449
1023.277000,-2.769436
1026.277000,-2.807057
1029.277000,-2.840671
1032.278000,-2.874646
1035.278000,-2.900750
1038.276000,-2.925794
1041.276000,-2.947880
1044.276000,-2.969127
1047.276000,-2.991607
1050.276000,-3.012857
1053.275000,-3.033822
1056.275000,-3.049344
1059.275000,-3.069724
1062.275000,-3.088271
1065.275000,-3.104633
1068.275000,-3.124482
1071.274000,-3.143271
1074.274000,-3.161033
1077.274000,-3.175790
1080.274000,-3.191163
1083.274000,-3.204788
1086.272000,-3.216563
1089.273000,-3.231541
1092.273000,-3.244102
1095.273000,-3.248950
1098.273000,-3.257792
1101.271000,-3.262143
1104.271000,-3.260165
1107.271000,-3.268296
1110.272000,-3.270156
1113.272000,-3.271142
1116.272000,-3.265339
1119.270000,-3.248634
1122.270000,-3.246336
1125.270000,-3.228054
1128.271000,-3.229801
1131.271000,-3.221897
1134.269000,-3.209122
1137.269000,-3.196170
1140.269000,-3.184605
1143.268000,-3.168199
1146.268000,-3.151477
1149.269000,-3.131261
1152.269000,-3.113233
1155.269000,-3.092942
1158.267000,-3.081472
1161.267000,-3.060548
1164.267000,-3.044234
1167.267000,-3.026853
1170.267000,-3.009142
1173.267000,-2.994089
1176.267000,-2.970653
1179.267000,-2.957691
1182.265000,-2.938804
1185.265000,-2.912533
1188.266000,-2.889647
1191.266000,-2.867877
1194.266000,-2.838163
1197.264000,-2.811878
1200.264000,-2.784196
1203.264000,-2.750018
1206.265000,-2.715653
1209.265000,-2.675440
1212.263000,-2.643669
1215.263000,-2.604956
1218.263000,-2.571533
1221.262000,-2.538354
1224.262000,-2.509401
1227.263000,-2.482572
1230.263000,-2.453867
1233.263000,-2.424084
1236.261000,-2.391592
1239.261000,-2.360297
1242.261000,-2.328471
1245.262000,-2.296747
1248.262000,-2.262450
1251.262000,-2.223465
1254.260000,-2.181869
1257.260000,-2.143880
1260.260000,-2.101346
1263.260000,-2.062728
1266.261000,-2.024729
1269.259000,-1.989232
1272.259000,-1.944852
1275.259000,-1.908981
1278.259000,-1.876105
1281.259000,-1.837178
1284.258000,-1.808187
1287.258000,-1.775535
1290.258000,-1.741891
1293.258000,-1.710490
1296.258000,-1.681985
1299.258000,-1.649779
1302.256000,-1.616206
1305.257000,-1.587484
1308.257000,-1.544035
1311.257000,-1.511900
1314.257000,-1.472018
1317.255000,-1.447249
1320.255000,-1.413911
1323.256000,-1.375799
1326.256000,-1.341917
1329.256000,-1.308877
1332.254000,-1.289045
1335.254000,-1.250172
1338.255000,-1.220250
1341.253000,-1.202151
1344.254000,-1.169374
1347.254000,-1.139951
1350.254000,-1.120554
1353.254000,-1.088116
1356.252000,-1.066496
1359.252000,-1.045202
1362.253000,-1.027467
1365.253000,-1.001658
1368.252000,-0.976893
1371.252000,-0.968673
1374.252000,-0.942038
1377.252000,-0.924177
1380.250000,-0.906908
1383.251000,-0.899800
1386.251000,-0.873434
1389.251000,-0.870136
1392.251000,-0.847061
1395.249000,-0.836570
1398.249000,-0.831648
1401.250000,-0.806865
1404.250000,-0.800566
1407.250000,-0.794508
1410.250000,-0.785928
1413.248000,-0.777372
1416.248000,-0.764549
1419.248000,-0.766007
1422.249000,-0.751155
1425.249000,-0.754215
1428.247000,-0.759861
1431.247000,-0.738332
1434.247000,-0.732910
1437.247000,-0.743309
1440.248000,-0.751570
1443.246000,-0.758328
1446.246000,-0.753800
1449.246000,-0.759790
1452.246000,-0.761486
1455.246000,-0.766640
1458.246000,-0.774513
1461.245000,-0.781043
1464.245000,-0.788063
1467.245000,-0.794175
1470.245000,-0.800961
1473.245000,-0.809483
1476.243000,-0.824359
1479.244000,-0.827827
1482.244000,-0.845235
1485.243000,-0.858581
1488.243000,-0.871884
1491.243000,-0.885607
1494.243000,-0.902958
1497.244000,-0.921016
1500.242000,-0.932027
1503.242000,-0.949813
1506.242000,-0.967796
1509.242000,-0.984970
1512.242000,-1.002287
1515.240000,-1.026141
1518.241000,-1.043821
1521.241000,-1.061448
1524.241000,-1.082286
1527.241000,-1.106518
1530.239000,-1.127044
1533.239000,-1.148226
1536.240000,-1.169102
1539.240000,-1.195206
1542.240000,-1.220580
1545.240000,-1.245274
1548.238000,-1.270120
1551.238000,-1.297785
1554.238000,-1.322621
1557.239000,-1.350674
1560.239000,-1.375667
1563.237000,-1.405429
1566.237000,-1.431231
1569.237000,-1.456139
1572.237000,-1.487081
1575.238000,-1.519800
1578.236000,-1.548169
1581.236000,-1.575259
1584.236000,-1.606007
1587.235000,-1.630531
1590.235000,-1.658057
1593.235000,-1.685222
1596.236000,-1.714161
1599.236000,-1.739882
1602.234000,-1.767489
1605.234000,-1.790496
1608.234000,-1.815112
1611.234000,-1.842661
1614.235000,-1.865791
1617.233000,-1.893687
1620.233000,-1.919951
1623.233000,-1.944471
1626.233000,-1.971392
1629.233000,-1.998720
1632.233000,-2.023403
1635.232000,-2.050772
1638.232000,-2.077411
1641.232000,-2.107010
1644.232000,-2.134780
1647.232000,-2.161388
1650.230000,-2.188485
1653.231000,-2.216194
1656.231000,-2.239528
1659.231000,-2.265245
1662.231000,-2.290169
1665.229000,-2.313942
